,index,Original,Porter,Lancaster,Snowball
0,1,aa,aa,aa,aa
1,3,ba,ba,ba,ba
2,19,sba,sba,sba,sba
3,23,ca,ca,ca,ca
4,53,scholastica,scholastica,scholastica,scholastica
5,59,spca,spca,spca,spca
6,60,rca,rca,rca,rca
7,69,ctca,ctca,ctca,ctca
8,73,da,da,da,da
9,80,schwada,schwada,schwada,schwada
10,86,fda,fda,fda,fda
11,122,nlrda,nlrda,nlrda,nlrda
12,129,bea,bea,bea,bea
13,145,mea,mea,mea,mea
14,155,sea,sea,sea,sea
15,158,tea,tea,tea,tea
16,160,ffa,ffa,ffa,ffa
17,164,ga,ga,ga,ga
18,185,pga,pga,pga,pga
19,187,ha,ha,ha,ha
20,189,cha,cha,cha,cha
21,193,fha,fha,fha,fha
22,194,gha,gha,gha,gha
23,200,sha,sha,sha,sha
24,230,dia,dia,dia,dia
25,382,via,via,via,via
26,392,ja,ja,ja,ja
27,429,la,la,la,la
28,444,fla,fla,fla,fla
29,512,ma,ma,ma,ma
30,532,schema,schema,schema,schema
31,552,schmalma,schmalma,schmalma,schmalma
32,585,na,na,na,na
33,598,christiana,christiana,christiana,christiana
34,677,mckenna,mckenna,mckenna,mckenna
35,702,boa,boa,boa,boa
36,704,doa,doa,doa,doa
37,705,goa,goa,goa,goa
38,706,hoa,hoa,hoa,hoa
39,712,pa,pa,pa,pa
40,721,spa,spa,spa,spa
41,723,wpa,wpa,wpa,wpa
42,724,ra,ra,ra,ra
43,732,mcnamara,mcnamara,mcnamara,mcnamara
44,767,fra,fra,fra,fra
45,780,nra,nra,nra,nra
46,854,ta,ta,ta,ta
47,860,schemata,schemata,schemata,schemata
48,867,strata,strata,strata,strata
49,868,cta,cta,cta,cta
50,870,ncta,ncta,ncta,ncta
51,908,pta,pta,pta,pta
52,946,qua,qua,qua,qua
53,950,va,va,va,va
54,983,tva,tva,tva,tva
55,990,hwa,hwa,hwa,hwa
56,995,pwa,pwa,pwa,pwa
57,997,ya,ya,ya,ya
58,1028,b,b,b,b
59,1029,ab,ab,ab,ab
60,1030,aab,aab,aab,aab
61,1031,cab,cab,cab,cab
62,1032,taxicab,taxicab,taxicab,taxicab
63,1033,prefab,prefab,prefab,prefab
64,1034,gab,gab,gab,gab
65,1035,jab,jab,jab,jab
66,1036,lab,lab,lab,lab
67,1037,slab,slab,slab,slab
68,1038,nab,nab,nab,nab
69,1039,arab,arab,arab,arab
70,1040,drab,drab,drab,drab
71,1041,grab,grab,grab,grab
72,1042,tab,tab,tab,tab
73,1043,stab,stab,stab,stab
74,1044,schwab,schwab,schwab,schwab
75,1049,bbb,bbb,bbb,bbb
76,1056,cb,cb,cb,cb
77,1057,ccb,ccb,ccb,ccb
78,1058,beb,beb,beb,beb
79,1059,feb,feb,feb,feb
80,1060,jeb,jeb,jeb,jeb
81,1061,caleb,caleb,caleb,caleb
82,1062,loeb,loeb,loeb,loeb
83,1063,reb,reb,reb,reb
84,1064,nareb,nareb,nareb,nareb
85,1065,web,web,web,web
86,1066,ghoreyeb,ghoreyeb,ghoreyeb,ghoreyeb
87,1067,nahb,nahb,nahb,nahb
88,1068,bib,bib,bib,bib
89,1069,habib,habib,habib,habib
90,1070,lib,lib,lib,lib
91,1071,glib,glib,glib,glib
92,1072,hartlib,hartlib,hartlib,hartlib
93,1073,wlib,wlib,wlib,wlib
94,1074,rib,rib,rib,rib
95,1075,crib,crib,crib,crib
96,1076,drib,drib,drib,drib
97,1077,ajb,ajb,ajb,ajb
98,1078,lb,lb,lb,lb
99,1079,dekalb,dekalb,dekalb,dekalb
100,1080,kolb,kolb,kolb,kolb
101,1081,bulb,bulb,bulb,bulb
102,1082,lamb,lamb,lamb,lamb
103,1083,limb,limb,limb,limb
104,1084,climb,climb,climb,climb
105,1085,bomb,bomb,bomb,bomb
106,1086,comb,comb,comb,comb
107,1087,whitcomb,whitcomb,whitcomb,whitcomb
108,1088,aplomb,aplomb,aplomb,aplomb
109,1089,coulomb,coulomb,coulomb,coulomb
110,1090,tomb,tomb,tomb,tomb
111,1091,hecatomb,hecatomb,hecatomb,hecatomb
112,1092,womb,womb,womb,womb
113,1093,succumb,succumb,succumb,succumb
114,1094,dumb,dumb,dumb,dumb
115,1095,thumb,thumb,thumb,thumb
116,1096,plumb,plumb,plumb,plumb
117,1097,numb,numb,numb,numb
118,1098,crumb,crumb,crumb,crumb
119,1099,bob,bob,bob,bob
120,1100,kebob,kebob,kebob,kebob
121,1101,jacob,jacob,jacob,jacob
122,1102,gob,gob,gob,gob
123,1103,hob,hob,hob,hob
124,1104,job,job,job,job
125,1105,kob,kob,kob,kob
126,1106,ponkob,ponkob,ponkob,ponkob
127,1107,lob,lob,lob,lob
128,1108,blob,blob,blob,blob
129,1109,glob,glob,glob,glob
130,1110,slob,slob,slob,slob
131,1111,mob,mob,mob,mob
132,1112,nob,nob,nob,nob
133,1113,knob,knob,knob,knob
134,1114,doorknob,doorknob,doorknob,doorknob
135,1115,snob,snob,snob,snob
136,1116,rob,rob,rob,rob
137,1117,carob,carob,carob,carob
138,1118,garb,garb,garb,garb
139,1119,herb,herb,herb,herb
140,1120,superb,superb,superb,superb
141,1121,verb,verb,verb,verb
142,1122,adverb,adverb,adverb,adverb
143,1123,proverb,proverb,proverb,proverb
144,1124,nlrb,nlrb,nlrb,nlrb
145,1125,orb,orb,orb,orb
146,1126,absorb,absorb,absorb,absorb
147,1127,suburb,suburb,suburb,suburb
148,1128,curb,curb,curb,curb
149,1129,disturb,disturb,disturb,disturb
150,1130,tb,tb,tb,tb
151,1131,hubbub,hubbub,hubbub,hubbub
152,1132,reub,reub,reub,reub
153,1133,hub,hub,hub,hub
154,1134,club,club,club,club
155,1135,nightclub,nightclub,nightclub,nightclub
156,1136,pub,pub,pub,pub
157,1137,rub,rub,rub,rub
158,1138,scrub,scrub,scrub,scrub
159,1139,grub,grub,grub,grub
160,1140,shrub,shrub,shrub,shrub
161,1141,sub,sub,sub,sub
162,1142,tub,tub,tub,tub
163,1143,bathtub,bathtub,bathtub,bathtub
164,1144,stub,stub,stub,stub
165,1145,ayub,ayub,ayub,ayub
166,1146,yb,yb,yb,yb
167,1147,c,c,c,c
168,1148,isaac,isaac,isaac,isaac
169,1149,tabac,tabac,tabac,tabac
170,1150,dynafac,dynafac,dynafac,dynafac
171,1151,cardiac,cardiac,cardiac,cardiac
172,1152,elegiac,elegiac,elegiac,elegiac
173,1153,celiac,celiac,celiac,celiac
174,1154,iliac,iliac,iliac,iliac
175,1155,maniac,maniac,maniac,maniac
176,1156,nymphomaniac,nymphomaniac,nymphomaniac,nymphomaniac
177,1157,demoniac,demoniac,demoniac,demoniac
178,1158,ammoniac,ammoniac,ammoniac,ammoniac
179,1159,paranoiac,paranoiac,paranoiac,paranoiac
180,1160,pontiac,pontiac,pontiac,pontiac
181,1161,haijac,haijac,haijac,haijac
182,1162,lilac,lilac,lilac,lilac
183,1163,cadillac,cadillac,cadillac,cadillac
184,1164,mac,mac,mac,mac
185,1165,merrimac,merrimac,merrimac,merrimac
186,1166,potomac,potomac,potomac,potomac
187,1167,sumac,sumac,sumac,sumac
188,1168,almanac,almanac,almanac,almanac
189,1169,cognac,cognac,cognac,cognac
190,1170,mackinac,mackinac,mackinac,mackinac
191,1171,michilimackinac,michilimackinac,michilimackinac,michilimackinac
192,1172,brac,brac,brac,brac
193,1173,sac,sac,sac,sac
194,1174,senesac,senesac,senesac,senesac
195,1175,irsac,irsac,irsac,irsac
196,1176,tac,tac,tac,tac
197,1177,bivouac,bivouac,bivouac,bivouac
198,1178,wac,wac,wac,wac
199,1179,balzac,balzac,balzac,balzac
200,1180,bc,bc,bc,bc
201,1181,abc,abc,abc,abc
202,1182,bbc,bbc,bbc,bbc
203,1183,nbc,nbc,nbc,nbc
204,1184,cc,cc,cc,cc
205,1185,ccc,ccc,ccc,ccc
206,1186,icc,icc,icc,icc
207,1187,dc,dc,dc,dc
208,1188,adc,adc,adc,adc
209,1189,cdc,cdc,cdc,cdc
210,1190,aec,aec,aec,aec
211,1191,haec,haec,haec,haec
212,1192,quebec,quebec,quebec,quebec
213,1193,dec,dec,dec,dec
214,1194,jedec,jedec,jedec,jedec
215,1195,kamieniec,kamieniec,kamieniec,kamieniec
216,1196,alec,alec,alec,alec
217,1197,elec,elec,elec,elec
218,1198,nec,nec,nec,nec
219,1199,spec,spec,spec,spec
220,1200,lautrec,lautrec,lautrec,lautrec
221,1201,sec,sec,sec,sec
222,1202,mcsec,mcsec,mcsec,mcsec
223,1203,msec,msec,msec,msec
224,1204,cosec,cosec,cosec,cosec
225,1205,avec,avec,avec,avec
226,1206,exec,exec,exec,exec
227,1207,belzec,belzec,belzec,belzec
228,1208,pfc,pfc,pfc,pfc
229,1209,thc,thc,thc,thc
230,1211,formulaic,formula,formula,formula
231,1212,ptolemaic,ptolema,ptolema,ptolema
232,1213,algebraic,algebra,algebra,algebra
233,1218,arabic,arab,arab,arab
234,1220,orthorhombic,orthorhomb,orthorhomb,orthorhomb
235,1222,oleophobic,oleophob,oleophob,oleophob
