,Original,Porter,Lancaster,Snowball
0,formulaic,formula,formula,formula
1,ptolemaic,ptolema,ptolema,ptolema
2,algebraic,algebra,algebra,algebra
3,arabic,arab,arab,arab
4,orthorhombic,orthorhomb,orthorhomb,orthorhomb
5,oleophobic,oleophob,oleophob,oleophob
6,hydrophobic,hydrophob,hydrophob,hydrophob
7,aerobic,aerob,aerob,aerob
8,anaerobic,anaerob,anaerob,anaerob
9,sporadic,sporad,sporad,sporad
10,icelandic,iceland,iceland,iceland
11,periodic,period,period,period
12,melodic,melod,melod,melod
13,prosodic,prosod,prosod,prosod
14,nostalgic,nostalg,nostalg,nostalg
15,morphologic,morpholog,morpholog,morpholog
16,pathologic,patholog,patholog,patholog
17,biologic,biolog,biolog,biolog
18,physiologic,physiolog,physiolog,physiolog
19,phonologic,phonolog,phonolog,phonolog
20,allergic,allerg,allerg,allerg
21,anarchic,anarch,anarch,anarch
22,telegraphic,telegraph,telegraph,telegraph
23,geographic,geograph,geograph,geograph
24,choreographic,choreograph,choreograph,choreograph
25,orthographic,orthograph,orthograph,orthograph
26,autobiographic,autobiograph,autobiograph,autobiograph
27,encephalographic,encephalograph,encephalograph,encephalograph
28,crystallographic,crystallograph,crystallograph,crystallograph
29,demographic,demograph,demograph,demograph
30,oceanographic,oceanograph,oceanograph,oceanograph
31,pornographic,pornograph,pornograph,pornograph
32,topographic,topograph,topograph,topograph
33,typographic,typograph,typograph,typograph
34,photographic,photograph,photograph,photograph
35,cryptographic,cryptograph,cryptograph,cryptograph
36,atrophic,atroph,atroph,atroph
37,thyrotrophic,thyrotroph,thyrotroph,thyrotroph
38,catastrophic,catastroph,catastroph,catastroph
39,philosophic,philosoph,philosoph,philosoph
40,metamorphic,metamorph,metamorph,metamorph
41,anthropomorphic,anthropomorph,anthropomorph,anthropomorph
42,psychopathic,psychopath,psychopath,psychopath
43,monolithic,monolith,monolith,monolith
44,anorthic,anorth,anorth,anorth
45,republic,republ,republ,republ
46,semipublic,semipubl,semipubl,semipubl
47,angelic,angel,angel,angel
48,oleophilic,oleophil,oleophil,oleophil
49,eosinophilic,eosinophil,eosinophil,eosinophil
50,hydrophilic,hydrophil,hydrophil,hydrophil
51,basophilic,basophil,basophil,basophil
52,metallic,metal,metal,metal
53,nonmetallic,nonmetal,nonmetal,nonmetal
54,idyllic,idyl,idyl,idyl
55,metabolic,metabol,metabol,metabol
56,symbolic,symbol,symbol,symbol
57,hyperbolic,hyperbol,hyperbol,hyperbol
58,buccolic,buccol,buccol,buccol
59,bucolic,bucol,bucol,bucol
60,alcoholic,alcohol,alcohol,alcohol
61,catholic,cathol,cathol,cathol
62,vitriolic,vitriol,vitriol,vitriol
63,apostolic,apostol,apostol,apostol
64,acrylic,acryl,acryl,acryl
65,hypothalamic,hypothalam,hypothalam,hypothalam
66,islamic,islam,islam,islam
67,dynamic,dynam,dynam,dynam
68,thermodynamic,thermodynam,thermodynam,thermodynam
69,aerodynamic,aerodynam,aerodynam,aerodynam
70,ceramic,ceram,ceram,ceram
71,panoramic,panoram,panoram,panoram
72,glutamic,glutam,glutam,glutam
73,academic,academ,academ,academ
74,epidemic,epidem,epidem,epidem
75,pandemic,pandem,pandem,pandem
76,morphemic,morphem,morphem,morphem
77,polemic,polem,polem,polem
78,anemic,anem,anem,anem
79,phonemic,phonem,phonem,phonem
80,morphophonemic,morphophonem,morphophonem,morphophonem
81,hyperemic,hyperem,hyperem,hyperem
82,totemic,totem,totem,totem
83,systemic,system,system,system
84,diaphragmic,diaphragm,diaphragm,diaphragm
85,pantomimic,pantomim,pantomim,pantomim
86,ophthalmic,ophthalm,ophthalm,ophthalm
87,tragicomic,tragicom,tragicom,tragicom
88,anomic,anom,anom,anom
89,economic,econom,econom,econom
90,uneconomic,uneconom,uneconom,uneconom
91,socioeconomic,socioeconom,socioeconom,socioeconom
92,autonomic,autonom,autonom,autonom
93,atomic,atom,atom,atom
94,subatomic,subatom,subatom,subatom
95,diatomic,diatom,diatom,diatom
96,anatomic,anatom,anatom,anatom
97,hypodermic,hypoderm,hypoderm,hypoderm
98,endothermic,endotherm,endotherm,endotherm
99,exothermic,exotherm,exotherm,exotherm
100,protoplasmic,protoplasm,protoplasm,protoplasm
101,cataclysmic,cataclysm,cataclysm,cataclysm
102,polytechnic,polytechn,polytechn,polytechn
103,monoclinic,monoclin,monoclin,monoclin
104,dominic,domin,domin,domin
105,sardonic,sardon,sardon,sardon
106,napoleonic,napoleon,napoleon,napoleon
107,symphonic,symphon,symphon,symphon
108,stereophonic,stereophon,stereophon,stereophon
109,monophonic,monophon,monophon,monophon
110,aniseikonic,aniseikon,aniseikon,aniseikon
111,harmonic,harmon,harmon,harmon
112,philharmonic,philharmon,philharmon,philharmon
113,diachronic,diachron,diachron,diachron
114,ironic,iron,iron,iron
115,electronic,electron,electron,electron
116,photoelectronic,photoelectron,photoelectron,photoelectron
117,byronic,byron,byron,byron
118,masonic,mason,mason,mason
119,ultrasonic,ultrason,ultrason,ultrason
120,supersonic,superson,superson,superson
121,platonic,platon,platon,platon
122,catatonic,cataton,cataton,cataton
123,architectonic,architecton,architecton,architecton
124,miltonic,milton,milton,milton
125,isotonic,isoton,isoton,isoton
126,hairtonic,hairton,hairton,hairton
127,teutonic,teuton,teuton,teuton
128,embryonic,embryon,embryon,embryon
129,aminobenzoic,aminobenzo,aminobenzo,aminobenzo
130,adipic,adip,adip,adip
131,olympic,olymp,olymp,olymp
132,telescopic,telescop,telescop,telescop
133,microscopic,microscop,microscop,microscop
134,philanthropic,philanthrop,philanthrop,philanthrop
135,ergotropic,ergotrop,ergotrop,ergotrop
136,isotropic,isotrop,isotrop,isotrop
137,isotopic,isotop,isotop,isotop
138,satiric,satir,satir,satir
139,forensic,forens,forens,forens
