Lancaster,Original,Porter,Snowball
aa,"['aa', 'aaa', 'aaus']","['aa', 'aaa', 'aau']","['aa', 'aaa', 'aaus']"
aaawww,['aaawww'],['aaawww'],['aaawww']
aab,['aab'],['aab'],['aab']
aah,['aah'],['aah'],['aah']
aaron,['aaron'],['aaron'],['aaron']
aau,['aau'],['aau'],['aau']
ab,"['ab', 'abed', 'abated', 'abe', 'abbe', 'abaringe', 'aber', 'abberations']","['ab', 'abe', 'abat', 'abe', 'abb', 'abaring', 'aber', 'abber']","['ab', 'abe', 'abat', 'abe', 'abb', 'abaring', 'aber', 'abber']"
aback,['aback'],['aback'],['aback']
abandon,"['abandoned', 'abandoning', 'abandon', 'abandonment']","['abandon', 'abandon', 'abandon', 'abandon']","['abandon', 'abandon', 'abandon', 'abandon']"
abas,['abasement'],['abas'],['abas']
abatuno,['abatuno'],['abatuno'],['abatuno']
abba,['abbas'],['abba'],['abba']
abbass,['abbass'],['abbass'],['abbass']
abbey,['abbey'],['abbey'],['abbey']
abbot,"['abbot', 'abbott']","['abbot', 'abbott']","['abbot', 'abbott']"
abbrevy,"['abbreviated', 'abbreviation', 'abbreviations']","['abbrevi', 'abbrevi', 'abbrevi']","['abbrevi', 'abbrevi', 'abbrevi']"
abc,['abc'],['abc'],['abc']
abdallah,['abdallah'],['abdallah'],['abdallah']
abdom,['abdomen'],['abdomen'],['abdomen']
abdomin,"['abdominal', 'abdominis']","['abdomin', 'abdomini']","['abdomin', 'abdomini']"
abduc,['abduction'],['abduct'],['abduct']
abel,"['abel', 'abell', 'abels']","['abel', 'abel', 'abel']","['abel', 'abel', 'abel']"
abelson,['abelson'],['abelson'],['abelson']
aber,"['aberration', 'aberrations', 'aberrant']","['aberr', 'aberr', 'aberr']","['aberr', 'aberr', 'aberr']"
abernathy,"['abernathys', 'abernathy']","['abernathi', 'abernathi']","['abernathi', 'abernathi']"
abet,['abetted'],['abet'],['abet']
abey,['abeyance'],['abey'],['abey']
abhor,"['abhorred', 'abhorrent']","['abhor', 'abhorr']","['abhor', 'abhorr']"
abid,"['abide', 'abiding', 'abides']","['abid', 'abid', 'abid']","['abid', 'abid', 'abid']"
abigail,['abigail'],['abigail'],['abigail']
abject,"['abjection', 'abject', 'abjectly']","['abject', 'abject', 'abjectli']","['abject', 'abject', 'abject']"
abl,"['ablated', 'able', 'abilene', 'ablation', 'abler', 'abilities', 'ably', 'ability']","['ablat', 'abl', 'abilen', 'ablat', 'abler', 'abil', 'abli', 'abil']","['ablat', 'abl', 'abilen', 'ablat', 'abler', 'abil', 'abli', 'abil']"
ablard,['ablard'],['ablard'],['ablard']
ablaz,['ablaze'],['ablaz'],['ablaz']
abn,['abner'],['abner'],['abner']
abnorm,"['abnormal', 'abnormalities', 'abnormally']","['abnorm', 'abnorm', 'abnorm']","['abnorm', 'abnorm', 'abnorm']"
abo,['abo'],['abo'],['abo']
aboard,['aboard'],['aboard'],['aboard']
abod,['abode'],['abod'],['abod']
abol,"['abolished', 'abolish']","['abolish', 'abolish']","['abolish', 'abolish']"
abolit,"['abolition', 'abolitionists', 'abolitionist']","['abolit', 'abolitionist', 'abolitionist']","['abolit', 'abolitionist', 'abolitionist']"
aborigin,"['aborigine', 'aboriginal', 'aborigines']","['aborigin', 'aborigin', 'aborigin']","['aborigin', 'aborigin', 'aborigin']"
abort,"['abortive', 'abortion', 'abortions']","['abort', 'abort', 'abort']","['abort', 'abort', 'abort']"
abound,"['abounded', 'abound', 'abounding', 'abounds']","['abound', 'abound', 'abound', 'abound']","['abound', 'abound', 'abound', 'abound']"
about,['aboutiveness'],['about'],['about']
abov,['above'],['abov'],['abov']
aboveground,['aboveground'],['aboveground'],['aboveground']
abr,['abra'],['abra'],['abra']
abraham,['abraham'],['abraham'],['abraham']
abram,['abrams'],['abram'],['abram']
abras,['abrasion'],['abras'],['abras']
abreact,['abreaction'],['abreact'],['abreact']
abreast,['abreast'],['abreast'],['abreast']
abridg,"['abridged', 'abridgment']","['abridg', 'abridg']","['abridg', 'abridg']"
abroad,"['abroad', 'abroade']","['abroad', 'abroad']","['abroad', 'abroad']"
abrog,['abrogated'],['abrog'],['abrog']
abrupt,"['abruptness', 'abrupt', 'abruptly']","['abrupt', 'abrupt', 'abruptli']","['abrupt', 'abrupt', 'abrupt']"
abs,"['absented', 'absence', 'absentee', 'absenteeism', 'absences', 'absent', 'absently']","['absent', 'absenc', 'absente', 'absente', 'absenc', 'absent', 'absent']","['absent', 'absenc', 'absente', 'absente', 'absenc', 'absent', 'absent']"
abscess,['abscesses'],['abscess'],['abscess']
absciss,['abscissa'],['abscissa'],['abscissa']
absent,['absentia'],['absentia'],['absentia']
absentmind,['absentmindedly'],['absentmindedli'],['absentmind']
absinth,['absinthe'],['absinth'],['absinth']
absolv,"['absolute', 'absolution', 'absolutes', 'absoluteness', 'absolutely']","['absolut', 'absolut', 'absolut', 'absolut', 'absolut']","['absolut', 'absolut', 'absolut', 'absolut', 'absolut']"
absorb,"['absorb', 'absorbed', 'absorptive', 'absorbing', 'absorption', 'absorber', 'absorbs', 'absorptions', 'absorbent', 'absorbency']","['absorb', 'absorb', 'absorpt', 'absorb', 'absorpt', 'absorb', 'absorb', 'absorpt', 'absorb', 'absorb']","['absorb', 'absorb', 'absorpt', 'absorb', 'absorpt', 'absorb', 'absorb', 'absorpt', 'absorb', 'absorb']"
abst,['abstention'],['abstent'],['abstent']
abstain,"['abstaining', 'abstain']","['abstain', 'abstain']","['abstain', 'abstain']"
abstin,['abstinence'],['abstin'],['abstin']
abstract,"['abstracted', 'abstractive', 'abstracting', 'abstractionism', 'abstraction', 'abstractions', 'abstractors', 'abstractedness', 'abstracts', 'abstractionists', 'abstract', 'abstractly']","['abstract', 'abstract', 'abstract', 'abstraction', 'abstract', 'abstract', 'abstractor', 'abstracted', 'abstract', 'abstractionist', 'abstract', 'abstractli']","['abstract', 'abstract', 'abstract', 'abstraction', 'abstract', 'abstract', 'abstractor', 'abstracted', 'abstract', 'abstractionist', 'abstract', 'abstract']"
abstrus,['abstrusenesses'],['abstrus'],['abstrus']
absurd,"['absurd', 'absurdities', 'absurdly', 'absurdity']","['absurd', 'absurd', 'absurdli', 'absurd']","['absurd', 'absurd', 'absurd', 'absurd']"
abud,['abusive'],['abus'],['abus']
abund,"['abundance', 'abundant', 'abundantly']","['abund', 'abund', 'abundantli']","['abund', 'abund', 'abund']"
abus,"['abused', 'abuse', 'abuses']","['abus', 'abus', 'abus']","['abus', 'abus', 'abus']"
abut,['abutments'],['abut'],['abut']
abysm,['abysmal'],['abysm'],['abysm']
abyss,['abyss'],['abyss'],['abyss']
abyssin,['abyssinians'],['abyssinian'],['abyssinian']
ac,"['ace', 'acth', 'acs', 'aces']","['ace', 'acth', 'ac', 'ace']","['ace', 'acth', 'ac', 'ace']"
acac,['acacia'],['acacia'],['acacia']
acad,['acadia'],['acadia'],['acadia']
academ,"['academic', 'academicianship', 'academics', 'academically']","['academ', 'academicianship', 'academ', 'academ']","['academ', 'academicianship', 'academ', 'academ']"
academeh,['academeh'],['academeh'],['academeh']
academy,"['academies', 'academy']","['academi', 'academi']","['academi', 'academi']"
acal,['acala'],['acala'],['acala']
acapulco,['acapulco'],['acapulco'],['acapulco']
acc,"['acceded', 'accented', 'accede', 'accurate', 'accenting', 'accentual', 'accents', 'accent', 'accuracy', 'accurately']","['acced', 'accent', 'acced', 'accur', 'accent', 'accentu', 'accent', 'accent', 'accuraci', 'accur']","['acced', 'accent', 'acced', 'accur', 'accent', 'accentu', 'accent', 'accent', 'accuraci', 'accur']"
accac,['accacia'],['accacia'],['accacia']
accadem,['accademia'],['accademia'],['accademia']
