Lancaster,Original,Porter,Snowball
aa,['aa'],['aa'],['aa']
aaawww,['aaawww'],['aaawww'],['aaawww']
aah,['aah'],['aah'],['aah']
ab,['abberations'],['abber'],['abber']
abbot,['abbot'],['abbot'],['abbot']
abc,['abc'],['abc'],['abc']
aber,['aberrations'],['aberr'],['aberr']
abey,['abeyance'],['abey'],['abey']
ablard,['ablard'],['ablard'],['ablard']
abnorm,['abnormally'],['abnorm'],['abnorm']
abolit,['abolitionist'],['abolitionist'],['abolitionist']
abs,['absences'],['absenc'],['absenc']
abstract,['abstractors'],['abstractor'],['abstractor']
acad,['acadia'],['acadia'],['acadia']
acal,['acala'],['acala'],['acala']
acc,['accurate'],['accur'],['accur']
accid,"['accidental', 'accidentally']","['accident', 'accident']","['accident', 'accident']"
accolad,['accolades'],['accolad'],['accolad']
accompl,['accomplishment'],['accomplish'],['accomplish']
accord,['accords'],['accord'],['accord']
accredit,['accreditation'],['accredit'],['accredit']
accum,"['accumulated', 'accumulate']","['accumul', 'accumul']","['accumul', 'accumul']"
acet,['acetate'],['acet'],['acet']
acha,['achaeans'],['achaean'],['achaean']
acknowledg,"['acknowledge', 'acknowledging', 'acknowledgement']","['acknowledg', 'acknowledg', 'acknowledg']","['acknowledg', 'acknowledg', 'acknowledg']"
acont,['aconte'],['acont'],['acont']
acours,['acourse'],['acours'],['acours']
acquir,['acquired'],['acquir'],['acquir']
acquisit,"['acquisition', 'acquisitiveness']","['acquisit', 'acquisit']","['acquisit', 'acquisit']"
acr,['acres'],['acr'],['acr']
acrob,['acrobatics'],['acrobat'],['acrobat']
act,"['activism', 'actors', 'activity']","['activ', 'actor', 'activ']","['activ', 'actor', 'activ']"
ad,"['added', 'ade']","['ad', 'ade']","['ad', 'ade']"
addabbo,['addabbo'],['addabbo'],['addabbo']
addison,['addison'],['addison'],['addison']
adenoma,['adenomas'],['adenoma'],['adenoma']
adh,['adherent'],['adher'],['adher']
adjoin,['adjoining'],['adjoin'],['adjoin']
adjust,['adjustments'],['adjust'],['adjust']
adla,['adlai'],['adlai'],['adlai']
admin,['administer'],['administ'],['administ']
admir,"['admiration', 'admirers']","['admir', 'admir']","['admir', 'admir']"
admit,"['admit', 'admittedly']","['admit', 'admittedli']","['admit', 'admit']"
admon,['admonished'],['admonish'],['admonish']
adob,['adobe'],['adob'],['adob']
adopt,['adopt'],['adopt'],['adopt']
adult,['adulterous'],['adulter'],['adulter']
adv,"['advisable', 'adventure', 'advantages']","['advis', 'adventur', 'advantag']","['advis', 'adventur', 'advantag']"
advert,['advertisement'],['advertis'],['advertis']
advoc,['advocating'],['advoc'],['advoc']
aerosol,['aerosolized'],['aerosol'],['aerosol']
affect,"['affectation', 'affects']","['affect', 'affect']","['affect', 'affect']"
affix,['affixed'],['affix'],['affix']
afflict,['affliction'],['afflict'],['afflict']
afflu,['affluence'],['affluenc'],['affluenc']
affy,['affiliations'],['affili'],['affili']
aforesaid,['aforesaid'],['aforesaid'],['aforesaid']
ag,['agates'],['agat'],['agat']
against,['against'],['against'],['against']
aggreg,['aggregations'],['aggreg'],['aggreg']
agon,['agone'],['agon'],['agon']
agr,['agreeably'],['agreeabl'],['agreeabl']
