Porter,Original,Lancaster,Snowball
aa,['aa'],['aa'],['aa']
aaawww,['aaawww'],['aaawww'],['aaawww']
aah,['aah'],['aah'],['aah']
abber,['abberations'],['ab'],['abber']
abbot,['abbot'],['abbot'],['abbot']
abc,['abc'],['abc'],['abc']
aberr,['aberrations'],['aber'],['aberr']
abey,['abeyance'],['abey'],['abey']
ablard,['ablard'],['ablard'],['ablard']
abnorm,['abnormally'],['abnorm'],['abnorm']
abolitionist,['abolitionist'],['abolit'],['abolitionist']
absenc,['absences'],['abs'],['absenc']
abstractor,['abstractors'],['abstract'],['abstractor']
acadia,['acadia'],['acad'],['acadia']
acala,['acala'],['acal'],['acala']
accident,"['accidental', 'accidentally']","['accid', 'accid']","['accident', 'accident']"
accolad,['accolades'],['accolad'],['accolad']
accomplish,['accomplishment'],['accompl'],['accomplish']
accord,['accords'],['accord'],['accord']
accredit,['accreditation'],['accredit'],['accredit']
accumul,"['accumulated', 'accumulate']","['accum', 'accum']","['accumul', 'accumul']"
accur,['accurate'],['acc'],['accur']
acet,['acetate'],['acet'],['acet']
achaean,['achaeans'],['acha'],['achaean']
acknowledg,"['acknowledge', 'acknowledging', 'acknowledgement']","['acknowledg', 'acknowledg', 'acknowledg']","['acknowledg', 'acknowledg', 'acknowledg']"
acont,['aconte'],['acont'],['acont']
acours,['acourse'],['acours'],['acours']
acquir,['acquired'],['acquir'],['acquir']
acquisit,"['acquisition', 'acquisitiveness']","['acquisit', 'acquisit']","['acquisit', 'acquisit']"
acr,['acres'],['acr'],['acr']
acrobat,['acrobatics'],['acrob'],['acrobat']
activ,"['activism', 'activity']","['act', 'act']","['activ', 'activ']"
actor,['actors'],['act'],['actor']
ad,['added'],['ad'],['ad']
addabbo,['addabbo'],['addabbo'],['addabbo']
addison,['addison'],['addison'],['addison']
ade,['ade'],['ad'],['ade']
adenoma,['adenomas'],['adenoma'],['adenoma']
adher,['adherent'],['adh'],['adher']
adjoin,['adjoining'],['adjoin'],['adjoin']
adjust,['adjustments'],['adjust'],['adjust']
adlai,['adlai'],['adla'],['adlai']
administ,['administer'],['admin'],['administ']
admir,"['admiration', 'admirers']","['admir', 'admir']","['admir', 'admir']"
admit,['admit'],['admit'],['admit']
admittedli,['admittedly'],['admit'],['admit']
admonish,['admonished'],['admon'],['admonish']
adob,['adobe'],['adob'],['adob']
adopt,['adopt'],['adopt'],['adopt']
adulter,['adulterous'],['adult'],['adulter']
advantag,['advantages'],['adv'],['advantag']
adventur,['adventure'],['adv'],['adventur']
advertis,['advertisement'],['advert'],['advertis']
advis,['advisable'],['adv'],['advis']
advoc,['advocating'],['advoc'],['advoc']
aerosol,['aerosolized'],['aerosol'],['aerosol']
affect,"['affectation', 'affects']","['affect', 'affect']","['affect', 'affect']"
affili,['affiliations'],['affy'],['affili']
affix,['affixed'],['affix'],['affix']
afflict,['affliction'],['afflict'],['afflict']
affluenc,['affluence'],['afflu'],['affluenc']
aforesaid,['aforesaid'],['aforesaid'],['aforesaid']
against,['against'],['against'],['against']
agat,['agates'],['ag'],['agat']
aggreg,['aggregations'],['aggreg'],['aggreg']
agon,['agone'],['agon'],['agon']
agre,['agreed'],['agree'],['agre']
