Snowball,Original,Porter,Lancaster
aa,['aa'],['aa'],['aa']
aaa,['aaa'],['aaa'],['aa']
aaawww,['aaawww'],['aaawww'],['aaawww']
aab,['aab'],['aab'],['aab']
aah,['aah'],['aah'],['aah']
aaron,['aaron'],['aaron'],['aaron']
aau,['aau'],['aau'],['aau']
aaus,['aaus'],['aau'],['aa']
ab,['ab'],['ab'],['ab']
aback,['aback'],['aback'],['aback']
abandon,"['abandoned', 'abandoning', 'abandon', 'abandonment']","['abandon', 'abandon', 'abandon', 'abandon']","['abandon', 'abandon', 'abandon', 'abandon']"
abaring,['abaringe'],['abaring'],['ab']
abas,['abasement'],['abas'],['abas']
abat,['abated'],['abat'],['ab']
abatuno,['abatuno'],['abatuno'],['abatuno']
abb,['abbe'],['abb'],['ab']
abba,['abbas'],['abba'],['abba']
abbass,['abbass'],['abbass'],['abbass']
abber,['abberations'],['abber'],['ab']
abbey,['abbey'],['abbey'],['abbey']
abbot,['abbot'],['abbot'],['abbot']
abbott,['abbott'],['abbott'],['abbot']
abbrevi,"['abbreviated', 'abbreviation', 'abbreviations']","['abbrevi', 'abbrevi', 'abbrevi']","['abbrevy', 'abbrevy', 'abbrevy']"
abc,['abc'],['abc'],['abc']
abdallah,['abdallah'],['abdallah'],['abdallah']
abdomen,['abdomen'],['abdomen'],['abdom']
abdomin,['abdominal'],['abdomin'],['abdomin']
abdomini,['abdominis'],['abdomini'],['abdomin']
abduct,['abduction'],['abduct'],['abduc']
abe,"['abed', 'abe']","['abe', 'abe']","['ab', 'ab']"
abel,"['abel', 'abell', 'abels']","['abel', 'abel', 'abel']","['abel', 'abel', 'abel']"
abelson,['abelson'],['abelson'],['abelson']
aber,['aber'],['aber'],['ab']
abernathi,"['abernathys', 'abernathy']","['abernathi', 'abernathi']","['abernathy', 'abernathy']"
aberr,"['aberration', 'aberrations', 'aberrant']","['aberr', 'aberr', 'aberr']","['aber', 'aber', 'aber']"
abet,['abetted'],['abet'],['abet']
abey,['abeyance'],['abey'],['abey']
abhor,['abhorred'],['abhor'],['abhor']
abhorr,['abhorrent'],['abhorr'],['abhor']
abid,"['abide', 'abiding', 'abides']","['abid', 'abid', 'abid']","['abid', 'abid', 'abid']"
abigail,['abigail'],['abigail'],['abigail']
abil,"['abilities', 'ability']","['abil', 'abil']","['abl', 'abl']"
abilen,['abilene'],['abilen'],['abl']
abject,"['abjection', 'abject', 'abjectly']","['abject', 'abject', 'abjectli']","['abject', 'abject', 'abject']"
abl,['able'],['abl'],['abl']
ablard,['ablard'],['ablard'],['ablard']
ablat,"['ablated', 'ablation']","['ablat', 'ablat']","['abl', 'abl']"
ablaz,['ablaze'],['ablaz'],['ablaz']
abler,['abler'],['abler'],['abl']
abli,['ably'],['abli'],['abl']
abner,['abner'],['abner'],['abn']
abnorm,"['abnormal', 'abnormalities', 'abnormally']","['abnorm', 'abnorm', 'abnorm']","['abnorm', 'abnorm', 'abnorm']"
abo,['abo'],['abo'],['abo']
aboard,['aboard'],['aboard'],['aboard']
abod,['abode'],['abod'],['abod']
abolish,"['abolished', 'abolish']","['abolish', 'abolish']","['abol', 'abol']"
abolit,['abolition'],['abolit'],['abolit']
abolitionist,"['abolitionists', 'abolitionist']","['abolitionist', 'abolitionist']","['abolit', 'abolit']"
aborigin,"['aborigine', 'aboriginal', 'aborigines']","['aborigin', 'aborigin', 'aborigin']","['aborigin', 'aborigin', 'aborigin']"
abort,"['abortive', 'abortion', 'abortions']","['abort', 'abort', 'abort']","['abort', 'abort', 'abort']"
abound,"['abounded', 'abound', 'abounding', 'abounds']","['abound', 'abound', 'abound', 'abound']","['abound', 'abound', 'abound', 'abound']"
about,['aboutiveness'],['about'],['about']
abov,['above'],['abov'],['abov']
aboveground,['aboveground'],['aboveground'],['aboveground']
abra,['abra'],['abra'],['abr']
abraham,['abraham'],['abraham'],['abraham']
abram,['abrams'],['abram'],['abram']
abras,['abrasion'],['abras'],['abras']
abreact,['abreaction'],['abreact'],['abreact']
abreast,['abreast'],['abreast'],['abreast']
