,index,Original,Porter,Snowball
0,1385,arsenic,arsen,arsenic
1,2754,nibelungenlied,nibelungenli,nibelungen
2,2911,trekked,trek,trekk
3,2912,grokked,grok,grokk
4,4567,communicated,commun,communic
5,4815,generated,gener,generat
6,5567,revved,rev,revv
7,5750,generalized,gener,general
8,8874,lasalle,lasal,lasall
9,8878,rosabelle,rosabel,rosabell
10,8879,micelle,micel,micell
11,8881,chandelle,chandel,chandell
12,8882,officielle,officiel,officiell
13,8883,gabrielle,gabriel,gabriell
14,8885,giselle,gisel,gisell
15,8886,mademoiselle,mademoisel,mademoisell
16,8887,hartselle,hartsel,hartsell
17,8888,nouvelle,nouvel,nouvell
18,8889,gazelle,gazel,gazell
19,8890,rozelle,rozel,rozell
20,8893,lucille,lucil,lucill
21,8896,camille,camil,camill
22,8897,famille,famil,famill
23,8898,escadrille,escadril,escadrill
24,8899,quadrille,quadril,quadrill
25,8901,reedville,reedvil,reedvill
26,8902,leopoldville,leopoldvil,leopoldvill
27,8903,raymondville,raymondvil,raymondvill
28,8904,lawrenceville,lawrencevil,lawrencevill
29,8905,vaudeville,vaudevil,vaudevill
30,8906,milledgeville,milledgevil,milledgevill
31,8907,asheville,ashevil,ashevill
32,8908,belleville,bellevil,bellevill
33,8909,greville,grevil,grevill
34,8910,branchville,branchvil,branchvill
35,8911,nashville,nashvil,nashvill
36,8912,rockville,rockvil,rockvill
37,8913,melville,melvil,melvill
38,8914,snellville,snellvil,snellvill
39,8915,barnumville,barnumvil,barnumvill
40,8916,danville,danvil,danvill
41,8917,manville,manvil,manvill
42,8918,granville,granvil,granvill
43,8919,greenville,greenvil,greenvill
44,8920,bienville,bienvil,bienvill
45,8921,renville,renvil,renvill
46,8922,grenville,grenvil,grenvill
47,8923,linville,linvil,linvill
48,8924,mondonville,mondonvil,mondonvill
49,8925,jacksonville,jacksonvil,jacksonvill
50,8926,robinsonville,robinsonvil,robinsonvill
51,8927,seagoville,seagovil,seagovill
52,8928,somerville,somervil,somervill
53,8929,websterville,webstervil,webstervill
54,8930,orville,orvil,orvill
55,8931,kerrville,kerrvil,kerrvill
56,8932,murville,murvil,murvill
57,8933,jarrodsville,jarrodsvil,jarrodsvill
58,8934,lanesville,lanesvil,lanesvill
59,8935,gainesville,gainesvil,gainesvill
60,8936,squaresville,squaresvil,squaresvill
61,8937,floresville,floresvil,floresvill
62,8938,charlottesville,charlottesvil,charlottesvill
63,8939,louisville,louisvil,louisvill
