,Original,Porter,Lancaster,Snowball
1,aa,aa,aa,aa
2,aaa,aaa,aa,aaa
3,ba,ba,ba,ba
4,barnaba,barnaba,barnab,barnaba
5,paba,paba,pab,paba
6,saba,saba,sab,saba
7,hubba,hubba,hubb,hubba
8,chiba,chiba,chib,chiba
9,bourguiba,bourguiba,bourguib,bourguiba
10,alba,alba,alb,alba
11,elba,elba,elb,elba
12,bulba,bulba,bulb,bulba
13,samba,samba,samb,samba
14,marimba,marimba,marimb,marimba
15,simba,simba,simb,simba
16,lumumba,lumumba,lumumb,lumumba
17,soba,soba,sob,soba
18,manitoba,manitoba,manitob,manitoba
19,sba,sba,sba,sba
20,cuba,cuba,cub,cuba
21,tuba,tuba,tub,tuba
22,yuba,yuba,yub,yuba
23,ca,ca,ca,ca
24,ithaca,ithaca,ithac,ithaca
25,rebecca,rebecca,rebecc,rebecca
26,decca,decca,decc,decca
27,mecca,mecca,mecc,mecca
28,yucca,yucca,yucc,yucca
29,cieca,cieca,ciec,cieca
30,ica,ica,ic,ica
31,jamaica,jamaica,jamaic,jamaica
32,oiticica,oiticica,oiticic,oiticica
33,angelica,angelica,angelic,angelica
34,silica,silica,silic,silica
35,replica,replica,replic,replica
36,mica,mica,mic,mica
37,vomica,vomica,vomic,vomica
38,britannica,britannica,britannic,britannica
39,sinfonica,sinfonica,sinfonic,sinfonica
40,monica,monica,monic,monica
41,veronica,veronica,veronic,veronica
42,platonica,platonica,platonic,platonica
43,arnica,arnica,arnic,arnica
44,america,america,americ,america
45,africa,africa,afric,africa
46,brassica,brassica,brassic,brassica
47,jessica,jessica,jessic,jessica
48,musica,musica,music,musica
49,sciatica,sciatica,sciatic,sciatica
50,antarctica,antarctica,antarctic,antarctica
51,atlantica,atlantica,atlantic,atlantica
52,erotica,erotica,erotic,erotica
53,scholastica,scholastica,scholastica,scholastica
54,attica,attica,attic,attica
55,simca,simca,simc,simca
56,ymca,ymca,ymc,ymca
57,inca,inca,inc,inca
58,coca,coca,coc,coca
59,spca,spca,spca,spca
60,rca,rca,rca,rca
61,dellarca,dellarca,dellarc,dellarca
62,circa,circa,circ,circa
63,lorca,lorca,lorc,lorca
64,casca,casca,casc,casca
65,itasca,itasca,itasc,itasca
66,francesca,francesca,francesc,francesca
67,prisca,prisca,prisc,prisca
68,tosca,tosca,tosc,tosca
69,ctca,ctca,ctca,ctca
70,noctiluca,noctiluca,noctiluc,noctiluca
71,ywca,ywca,ywc,ywca
72,bystrzyca,bystrzyca,bystrzyc,bystrzyca
73,da,da,da,da
74,ada,ada,ad,ada
75,okada,okada,okad,okada
76,torquemada,torquemada,torquemad,torquemada
77,canada,canada,canad,canada
78,spada,spada,spad,spada
79,nevada,nevada,nevad,nevada
80,schwada,schwada,schwada,schwada
81,hedda,hedda,hedd,hedda
82,shouldda,shouldda,shouldd,shouldda
83,castaneda,castaneda,castaned,castaneda
84,yoneda,yoneda,yoned,yoneda
85,veda,veda,ved,veda
86,fda,fda,fda,fda
87,ida,ida,id,ida
88,aida,aida,aid,aida
89,oneida,oneida,oneid,oneida
90,freida,freida,freid,freida
91,salida,salida,salid,salida
92,florida,florida,florid,florida
93,taurida,taurida,taurid,taurida
94,vida,vida,vid,vida
95,halda,halda,hald,halda
96,matilda,matilda,matild,matilda
97,golda,golda,gold,golda
98,coulda,coulda,could,coulda
99,woulda,woulda,would,woulda
100,propaganda,propaganda,propagand,propaganda
101,veranda,veranda,verand,veranda
102,miranda,miranda,mirand,miranda
103,memoranda,memoranda,memorand,memoranda
104,noranda,noranda,norand,noranda
105,ruanda,ruanda,ruand,ruanda
106,servanda,servanda,servand,servanda
107,agenda,agenda,agend,agenda
108,calenda,calenda,calend,calenda
109,delenda,delenda,delend,delenda
110,glenda,glenda,glend,glenda
111,tenda,tenda,tend,tenda
112,kinda,kinda,kind,kinda
113,linda,linda,lind,linda
114,calinda,calinda,calind,calinda
115,anaconda,anaconda,anacond,anaconda
116,gioconda,gioconda,giocond,gioconda
