,Original,Porter,Lancaster,Snowball
1,aa,aa,aa,aa
2,elba,elba,elb,elba
3,tuba,tuba,tub,tuba
4,jamaica,jamaica,jamaic,jamaica
5,veronica,veronica,veronic,veronica
6,atlantica,atlantica,atlantic,atlantica
7,dellarca,dellarca,dellarc,dellarca
8,ywca,ywca,ywc,ywca
9,hedda,hedda,hedd,hedda
10,salida,salida,salid,salida
11,veranda,veranda,verand,veranda
12,tenda,tenda,tend,tenda
13,soda,soda,sod,soda
14,medea,medea,mede,medea
15,anthea,anthea,anthe,anthea
16,andrea,andrea,andre,andrea
17,hoffa,hoffa,hoff,hoffa
18,bottega,bottega,botteg,bottega
19,ticonderoga,ticonderoga,ticonderog,ticonderoga
20,mischa,mischa,misch,mischa
21,pasha,pasha,pash,pasha
22,bertha,bertha,berth,bertha
23,suburbia,suburbia,suburb,suburbia
24,acadia,acadia,acad,acadia
25,pharmacopoeia,pharmacopoeia,pharmacopoe,pharmacopoeia
26,bahia,bahia,bah,bahia
27,malia,malia,mal,malia
28,anglia,anglia,angl,anglia
29,julia,julia,jul,julia
30,lumia,lumia,lum,lumia
31,sylvania,sylvania,sylvan,sylvania
32,pneumonia,pneumonia,pneumon,pneumonia
33,tikopia,tikopia,tikop,tikopia
34,bavaria,bavaria,bavar,bavaria
35,mycobacteria,mycobacteria,mycobacter,mycobacteria
36,austria,austria,austr,austria
37,silesia,silesia,siles,silesia
38,lucretia,lucretia,lucret,lucretia
39,izvestia,izvestia,izvest,izvestia
40,anorexia,anorexia,anorex,anorexia
41,petruchka,petruchka,petruchk,petruchka
42,polyanka,polyanka,polyank,polyanka
43,ziminska,ziminska,ziminsk,ziminska
44,acala,acala,acal,acala
45,pamela,pamela,pamel,pamela
46,ella,ella,ell,ella
47,rosella,rosella,rosell,rosella
48,perilla,perilla,perill,perilla
49,kaola,kaola,kaol,kaola
50,manzanola,manzanola,manzanol,manzanola
51,tabula,tabula,tabul,tabula
52,phyla,phyla,phyl,phyla
53,panama,panama,panam,panama
54,edema,edema,edem,edema
55,asthma,asthma,asthm,asthma
56,halma,halma,halm,halma
57,momma,momma,momm,momma
58,texoma,texoma,texom,texoma
59,sukuma,sukuma,sukum,sukuma
